v1: 0.308658, v2: 0.308658, v3: 0.308658
v1: 0.212608, v2: 0.212608, v3: 0.212608
v1: 0.108386, v2: 0.108386, v3: 0.108386
v1: 0.000000, v2: 0.000000, v3: 0.000000
v1: 0.074658, v2: 0.074658, v3: 0.074658
v1: 0.146447, v2: 0.146447, v3: 0.146447
v1: 0.212608, v2: 0.212608, v3: 0.212608
v1: 0.270598, v2: 0.270598, v3: 0.270598
v1: 0.318190, v2: 0.318190, v3: 0.318190
v1: 0.353553, v2: 0.353553, v3: 0.353553
v1: 0.375330, v2: 0.375330, v3: 0.375330
v1: 0.382683, v2: 0.382683, v3: 0.382683
v1: 0.375330, v2: 0.375330, v3: 0.375330
v1: 0.353553, v2: 0.353553, v3: 0.353553
v1: 0.318190, v2: 0.318190, v3: 0.318190
v1: 0.270598, v2: 0.270598, v3: 0.270598
v1: 0.212608, v2: 0.212608, v3: 0.212608
v1: 0.146447, v2: 0.146447, v3: 0.146447
v1: 0.074658, v2: 0.074658, v3: 0.074658
v1: 0.038060, v2: 0.038060, v3: 0.038060
v1: 0.074658, v2: 0.074658, v3: 0.074658
v1: 0.108386, v2: 0.108386, v3: 0.108386
v1: 0.137950, v2: 0.137950, v3: 0.137950
v1: 0.162212, v2: 0.162212, v3: 0.162212
v1: 0.180240, v2: 0.180240, v3: 0.180240
v1: 0.191342, v2: 0.191342, v3: 0.191342
v1: 0.195090, v2: 0.195090, v3: 0.195090
v1: 0.191342, v2: 0.191342, v3: 0.191342
v1: 0.180240, v2: 0.180240, v3: 0.180240
v1: 0.162212, v2: 0.162212, v3: 0.162212
v1: 0.137950, v2: 0.137950, v3: 0.137950
v1: 0.108386, v2: 0.108386, v3: 0.108386
v1: 0.074658, v2: 0.074658, v3: 0.074658
v1: 0.038060, v2: 0.038060, v3: 0.038060
v1: -0.000000, v2: -0.000000, v3: -0.000000
v1: 0.000000, v2: 0.000000, v3: 0.000000
v1: 0.000000, v2: 0.000000, v3: 0.000000
v1: -0.000000, v2: -0.000000, v3: -0.000000
v1: -0.000000, v2: -0.000000, v3: -0.000000
v1: 0.000000, v2: 0.000000, v3: 0.000000
v1: -0.000000, v2: -0.000000, v3: -0.000000
v1: -0.000000, v2: -0.000000, v3: -0.000000
v1: -0.000000, v2: -0.000000, v3: -0.000000
v1: 0.000000, v2: 0.000000, v3: 0.000000
v1: -0.000000, v2: -0.000000, v3: -0.000000
v1: -0.000000, v2: -0.000000, v3: -0.000000
v1: -0.000000, v2: -0.000000, v3: -0.000000
v1: 0.000000, v2: 0.000000, v3: 0.000000
v1: 0.000000, v2: 0.000000, v3: 0.000000
v1: -0.038060, v2: -0.038060, v3: -0.038060
v1: -0.074658, v2: -0.074658, v3: -0.074658
v1: -0.108386, v2: -0.108386, v3: -0.108386
v1: -0.137950, v2: -0.137950, v3: -0.137950
v1: -0.162212, v2: -0.162212, v3: -0.162212
v1: -0.180240, v2: -0.180240, v3: -0.180240
v1: -0.191342, v2: -0.191342, v3: -0.191342
v1: -0.195090, v2: -0.195090, v3: -0.195090
v1: -0.191342, v2: -0.191342, v3: -0.191342
v1: -0.180240, v2: -0.180240, v3: -0.180240
v1: -0.162212, v2: -0.162212, v3: -0.162212
v1: -0.137950, v2: -0.137950, v3: -0.137950
v1: -0.108386, v2: -0.108386, v3: -0.108386
v1: -0.074658, v2: -0.074658, v3: -0.074658
v1: -0.038060, v2: -0.038060, v3: -0.038060
v1: -0.074658, v2: -0.074658, v3: -0.074658
v1: -0.146447, v2: -0.146447, v3: -0.146447
v1: -0.212608, v2: -0.212608, v3: -0.212608
v1: -0.270598, v2: -0.270598, v3: -0.270598
v1: -0.318190, v2: -0.318190, v3: -0.318190
v1: -0.353553, v2: -0.353553, v3: -0.353553
v1: -0.375330, v2: -0.375330, v3: -0.375330
v1: -0.382684, v2: -0.382684, v3: -0.382684
v1: -0.375330, v2: -0.375330, v3: -0.375330
v1: -0.353553, v2: -0.353553, v3: -0.353553
v1: -0.318190, v2: -0.318190, v3: -0.318190
v1: -0.270598, v2: -0.270598, v3: -0.270598
v1: -0.212608, v2: -0.212608, v3: -0.212608
v1: -0.146447, v2: -0.146447, v3: -0.146447
v1: -0.074658, v2: -0.074658, v3: -0.074658
v1: -0.108386, v2: -0.108386, v3: -0.108386
v1: -0.212608, v2: -0.212608, v3: -0.212608
v1: -0.308658, v2: -0.308658, v3: -0.308658
v1: -0.392847, v2: -0.392847, v3: -0.392847
v1: -0.461940, v2: -0.461940, v3: -0.461940
v1: -0.513280, v2: -0.513280, v3: -0.513280
v1: -0.544895, v2: -0.544895, v3: -0.544895
v1: -0.555570, v2: -0.555570, v3: -0.555570
v1: -0.544895, v2: -0.544895, v3: -0.544895
v1: -0.513280, v2: -0.513280, v3: -0.513280
v1: -0.461940, v2: -0.461940, v3: -0.461940
v1: -0.392847, v2: -0.392847, v3: -0.392847
v1: -0.308658, v2: -0.308658, v3: -0.308658
